title,text,label
DONALD TRUMP STRIKES BACK: Reminds American Voters Bernie Sanders Is “A COMMUNIST”…And A COWARD [VIDEO],"Trump spoke to his supporters at a rally in Cleveland, Ohio, on Saturday. As one would expect from Trump, he s not about to sit back and allow Bernie Sanders supporters and Black Lives Matter terrorists hijack his rallies. After addresseding the violent protesters in Chicago, he reinacted Bernie Sanders cowardly reaction when two female Black Lives Matter terrorists took over the mic while at the start of his rally in Seattle.  He called Bernie Sanders a  communist  and identified his supporters as  troublemakers.  Watch here:Watch here to see how Bernie Sanders reacted to the aggressive and disrespectful, thuggish behavior of two female representatives from the Black Lives Matter terror group. What is even more stunning is how the man who wants to be the leader of the free world stands in a corner like a dutiful Leftist allowing these two women to completely hijack a rally his people orgnaized. If Bernie can t control two unarmed, female domestic terrorists, how could anyone expect he could defend America against one of our enemies? This video is so embarrassing, it should be played over and over again as a reminder of the pacifist, communist who wants to be America s next President:Not everyone at the Bernie Sanders rally was down with the hateful, divisive Black Lives Matter terror representative s message;",fake
 Bill Maher Slays Ted Cruz And GOP Science Deniers With Amazingly Hilarious Groundhog Day Ad (VIDEO),"There s been a meme spreading across social media that says  Only in America do we accept weather predictions from a rodent but deny climate change evidence from scientists. Sadly, that meme is more accurate than Punxsutawney Phil could ever hope to be as conservatives continue to deny climate science outright as they flock to see if a groundhog sees his shadow or not to predict an early spring or more winter.Of course, groundhogs are not scientifically accurate at all. It s a complete myth that they can forecast the weather. This is explained particularly well by the National Oceanic and Atmospheric Administration, who put together a nice chart comparing Phil s predictions with the actual temperatures that occurred following them. From 1988-2015, NOAA found that,  The table shows no predictive skill for the groundhog during the most recent years of this analysis. While Groundhog Day is a way to have a little fun at mid-winter, climate records and statistics tell us that winter probably isn t over. Climatologically speaking, the three coldest months of the year are December, January, and February, so winter typically still has a bit to go when the groundhog comes out in search of his shadow on February 2. And that s why Bill Maher had a field day on Friday mocking conservative climate science deniers with a hilarious attack ad aimed particularly at Ted Cruz.Maher noted that Groundhog Day fell on the same day as the Iowa caucus vote, and said that because Punxsutawney Phil predicted warmer weather,  naturally, conservatives now think that Punxsutawney Phil is in the tank with the liberals on global warming. They re crazy about this issue,  Maher said, which is why he introduced an ad mocking climate science deniers in which conservatives attack Phil for being just another scientist propped up by liberal media. The ad also took a masterful shot at Iowa winner Ted Cruz.Here s the video via YouTube:Conservatives probably are crazy enough to believe that a groundhog can predict weather and they are certainly crazy enough to attack the groundhog for predicting warmer weather. But not believing actual science is truly crazy and it s the kind of crazy that is dangerous as Republicans continue to ignore that many of our coastal cities are going to be under water if we don t act. Featured image via screenshot",fake
HOUSE DEMOCRATS DISPLAY THE WRONG FLAG DURING SPEECHES ON HOUSE FLOOR AGAINST THE CONFEDERATE FLAG,"This is just too much! Protesting the flag that they don t even know has 13 stars unreal!House Democrats referenced the wrong Confederate flag Thursday during a debate over the controversial symbol.A photo from floor debates shows a Confederate flag with 17 stars, according to a post on CSPAN s Instagram account.The actual Confederate battle flag had 13 stars, one for each of the states that seceded from the Union before joining the Confederacy as of late 1861.CSPAN s photo shows a number of House Democrats speaking by a cutout of the incorrect version on Thursday morning.Reps. James Clyburn (S.C.), Al Green (Texas), Keith Ellison (Minn.), David Cicilline (R.I.), Eric Swalwell (Calif.), Hakeem Jeffries (N.Y.), Sheila Jackson Lee (Texas) and Terri Sewell (Ala.) all missed the apparent mistake.VIA: THE HILL",fake
Wildfires kill at least 39 in Portugal and Spain,"LISBON/MADRID (Reuters) - At least 36 people died in wildfires raging through parched farmlands and forests in Portugal and another three in neighboring northwestern Spain on Sunday and Monday. Firefighters were battling 50 blazes in Portugal and a similar number in Spain. Portugal s government asked for international help and declared a state of emergency in territory north of the Tagus river - about half of its landmass. Flames ripped across Iberian countryside left tinder-dry by an unusually hot summer and early autumn, fanned by strong winds as remnants of ex-Hurricane Ophelia brushed coastal areas. Television footage showed abandoned villages with many houses in embers and charred vehicles left on the roads. Portuguese opposition parties and the media harshly criticized the government for failing to prevent a new wave of deadly fires after the country s worst ever forest fire in June that killed 64 people.  Prime Minister Antonio Costa, however, refused to sack his interior minister and defended his government s attempts to reform the troubled forestry management system.   It s a structural problem that we are facing... This is not a time for resignations, but for solutions. Everything has to be transformed into reforms, to provide responses that the country needs so that nothing stays the way it was after this year,  he told reporters after a television address to the nation.   We are aware that the country wants results from us and we re running against time after decades of negligence,  Costa told reporters after his address. At the heart of the problem is poor land management in Portugal, where traditional small plots have become fire hazards after being abandoned by successive generations of landholders who moved to the cities.  Interior Minister Constanca Urbano de Sousa said climate change was also to blame.  We are facing new (weather) conditions ... In an era of climate change, such disasters are becoming reality all over the world,  she said, citing the wildfires burning in California. The weekend fires also injured 63 people in Portugal, civil protection service spokeswoman Patricia Gaspar said. The toll could still increase as seven people were unaccounted for. Water-spraying planes could not be deployed against most fires due to gigantic plumes of smoke that reduced visibility. But Gaspar said rains expected late on Monday and on Tuesday in the north of Portugal were likely to bring some relief. The Lisbon government has been criticized for a slow, inefficient response and a lack of fire-prevention policies, leaving Portugal with Europe s largest expanse of woodland burned by wildfires. Portugal s fires have burned over 40 percent of the total in all of the European Union this year. With just 2.1 percent of the EU s landmass, Portugal suffered the biggest fires during 2008-16 as well, with an average of 36 percent of the total. Three people died in Spain s northwestern Galicia region - two of them women found inside a burnt-out car, the third a man in his 70s killed as he tried to save his farm animals, according to local media. Most of the fires in Galicia were started deliberately, said Alberto Nunez Feijoo, head of the regional government.  Spanish Interior Minister Juan Ignacio Zoido said some of those responsible had already been identified. They could face up to 20 years in jail if convicted. At least two persons were arrested in Portugal for allegedly starting fires. ",real
At least five killed in Kenya as violence greets opposition leader's return,"NAIROBI (Reuters) - At least five people were killed on Friday as Kenyan police tried to disperse supporters accompanying opposition leader Raila Odinga from the airport to central Nairobi, police said.     Police fired tear gas at the convoy in which Odinga was traveling and used water cannon as they tried to stop it reaching the capital s main business district. Some protesters threw stones at police. Two vehicles, including a police truck, were set on fire. A Reuters photographer saw two bodies with gunshot wounds as police and protesters fought on one of the main roads leading to the business district. Police said five people were stoned to death by angry mobs after they were caught stealing and denied they had used excessive force against the opposition supporters.  These incidences occurred before the police arrived at the various scenes,  the police service said in a statement. Police retreated several times along the route after the protesters were unmoved by the teargas and water cannon spray. They finally held their ground near the city s main park, where Odinga, just returned from the United States, intended to address a rally that had been banned. He blamed President Uhuru Kenyatta for the violence.  My anger is with that guy called Uhuru Kenyatta. I went abroad... After you welcomed me well, he sent policemen to teargas you, to beat my people, to fire bullets at them. Isn t this barbaric?,  he told his supporters after driving to safety. Odinga has called for a  National Resistance Movement  to protest against the outcome of a repeat presidential election last month which saw Kenyatta win a second, five-year term with 98 percent of the vote after Odinga boycotted the contest. Only 39 percent of registered voters took part. The repeat poll was ordered by the Supreme Court after it annulled the results of the August election, won by Kenyatta, over procedural irregularities. The court will rule on Monday on cases that seek to nullify the rerun election.  The political crisis has stirred fears for the stability of Kenya, a regional hub for trade, diplomacy and security.  Earlier on Friday, demonstrators threw up burning barricades on Mombasa Road, the highway that links Nairobi s downtown business district and the airport. Despite a partial police ban on protests in the capital, hundreds of people had gathered in the morning near Jomo Kenyatta International Airport to await Odinga s return. Police fired into the air to disperse them. Once Odinga landed, motorcycle taxi drivers and people on foot shouted their support as the motorcade, which included lawmakers from Odinga s opposition coalition, began moving toward central Nairobi. Dozens of international flights depart and arrive daily at Nairobi s main airport. The national airport authority said on Twitter just before midday that operations were running normally.  Kenya Airways said it had been  impacted  by the disruptions around the airport and offered to book travelers who missed their flights on subsequent ones.   Kenya s prolonged election season has disrupted its economy. Human rights groups say at least 66 people have died in bloodshed surrounding the two elections. Ahead of Monday s Supreme Court ruling, Kenya Airways  chairman told an investor briefing on Friday:  Hopefully we don t have another presidential election so we can get on with life.  ",real
Lebanon will only survive if Hezbollah disarms: Saudi minister,"ROME (Reuters) - Saudi Arabia s foreign minister said on Friday that Lebanon had been  hijacked  by Hezbollah and could only flourish if the Iranian-backed group disarmed.  The Shi ite Muslim militia was set up by the powerful Iranian Revolutionary Guards (IRGC) in the 1980s and has grown steadily in influence, sharing power in the Beirut government and giving crucial support to President Bashar al-Assad in Syria s civil war.  Its growing strength has alarmed Saudi Arabia, a Sunni Muslim monarchy that is Shi ite Iran s arch-rival for regional influence.  Lebanon will only survive or prosper if you disarm Hezbollah,  Foreign Minister Adel al-Jubeir told a conference in Italy.  As long as you have an armed militia, you will not have peace in Lebanon.  Jubeir said the situation in Lebanon was  tragic  and accused Iran of fomenting unrest across the Middle East.  Since 1979, the Iranians have literally got away with murder in our region, and this has to stop,  he said. A month ago, Saad al-Hariri resigned as Lebanese prime minister while he was in Saudi Arabia, triggering a political crisis in Beirut and thrusting Lebanon onto the front line of the regional rivalry. Saudi Arabia denied coercing its long-time ally to quit, and Hariri has now returned to Beirut and indicated that he might withdraw his resignation. Elsewhere in the region, Saudi Arabia fears that Hezbollah and Iran are trying to take control of its neighbor Yemen, by supporting Houthi forces against a Riyadh-led military coalition. Hezbollah denies fighting in Yemen, sending weapons to the Houthis, or firing rockets at Saudi Arabia from Yemeni territory. Jubeir rejected this and said his country would not back down in the conflict.  The Houthis cannot be allowed to take over a country,  he said. Jubeir said his country only had bad relations with two nations   Iran and North Korea. He said Riyadh did not have relations with Israel, which shares Saudi worries over Iran, because it was waiting for a Palestinian peace deal. He said everyone knew what a solution would look like to the decades-old conflict.  It is not rocket science,  he said, adding that he was waiting for the United States to put forward a new proposal. One of the most intractable problems facing negotiators is the spread of Jewish settlements across occupied territory that the Palestinians want for a future state.  Jubeir said he expected an eventual deal would set the borders of a Palestinian state on the lines prevailing before the 1967 war, when Israel captured the West Bank and Gaza Strip. However, he said adjustments could be made for settlers:  Seventy percent of the settlers who are on the (1967) Green Line remain in Israel, and the other 30 percent - you offer them compensation and work out housing, and they can move to Israel.  ",real
HE’S BAAACK! JUDGE NAPOLITANO On FOX News Not Backing Down From Obama Spying Claim [Video],"OUR PREVIOUS REPORT ON JUDGE NAPOLITAN S CLAIM ABOUT SPYING ON TRUMP: JUDGE NAPOLITANO was on FOX & Friends this morning discussing the Obama administration s efforts to spy on Donald Trump. Three intel sources have disclosed to the network that Obama went to British intelligence to get the goods on Trump, but we may never be able to prove it  JUDGE NAPOLITANO:  Three intelligence sources have informed FOX News that President Obama went outside the chain of command. He didn t use the NSA, he didn t use the CIA, he didn t use the FBI and he didn t use the Department of Justice He used *GCHQ.  *GCHQ is a British intel agency The interesting thing is that the director of the British Intel Agency resigned unexpectedly the day after Trump s inauguration. Hummm .@Judgenap: Three intel sources have disclosed that Pres. Obama turned to British spies to get surveillance on Trump pic.twitter.com/IghCFm7qhO  FOX & friends (@foxandfriends) March 14, 2017",fake
Saudi crown prince meets Lebanon's Maronite Patriarch: al-Arabiya,"DUBAI (Reuters) - Saudi Crown Prince Mohammed bin Salman held talks with Lebanon s Maronite Christian Patriarch Bechara Boutros Al-Rai in Riyadh on Tuesday, al-Arabiya television reported, as a political crisis in Lebanon drags on. Al-Rai met earlier with Saudi King Salman on the second day of his first visit to Saudi Arabia. He also held talks with Saad al-Hariri, who announced his resignation as prime minister of Lebanon from Riyadh on Nov. 4. ",real
Romania to hold same-sex marriage referendum this autumn: ruling party leader,"BUCHAREST (Reuters) - Romania s ruling Social Democrats hope to organize this autumn a referendum to restrict the constitutional definition of family, which would effectively rule out the possibility of legalizing same-sex marriage, party leader Liviu Dragnea said on Saturday. The plan for a referendum came about after the Coalition for the Family, a civil society group, collected 3 million signatures last year in favor of changing the constitutional definition of marriage as a union strictly between a man and a woman from the existing  spouses.  Under Romanian law, the constitution can be changed after a proposal by the president, the government, a quarter of all lawmakers or at least 500,000 citizens. Parliament must approve any revision, which must then pass a nationwide referendum.  It is known that we are committed ... in this direction,  state news agency Agerpres quoted Dragnea as saying at a party meeting at a resort on the Black Sea.   Our intention is to end up organizing the referendum to change the constitution on the family issue this autumn.  Few politicians openly support same sex marriage or even civil partnerships in the socially conservative eastern European nation of 20 million, where the Orthodox Church yields significant influence. Notable exceptions include centrist President Klaus Iohannis, an ethnic German, who has said that as a member of an ethnic and religious minority, he supports tolerance and openness towards others who are different while rejecting religious fanaticism and ultimatums.  The opposition Save Romania Union (USR) also held an internal vote on the issue and decided to oppose the referendum.  In June, dozens of Romanian rights groups jointly asked parliament to reject the proposed constitutional change that they said would push the European Union state onto a populist, authoritarian track leading to an erosion of democratic rights and liberties. The Coalition for the Family also supports cancelling subsidies for contraception and elective abortion, forcing parents of minors to have counseling if they want to divorce, and lowering some taxes for married couples.  Restricting the definition of family based on a marriage between man and woman also would hurt single parents, non-married couples and other non-traditional parenting units, rights groups have said. ",real
"TRUMP Wins Over Democrats and Independents In Akron, Ohio…THIS Is Diversity! [Video]",This is diversity! These people are awesome!,fake
